title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
DTP 2016-2017 University of Bath,EPSRC,EP/N509589/1,2016-10-01,2021-09-30,4208200,University of Bath,Research Support,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Karen,,Toogood,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509589%2F1
"DTP - Queen Mary, University of London",EPSRC,EP/M507921/1,2015-10-01,2019-09-30,992115,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507921%2F1
STFC Heriot Watt Eng 2015 DTP,STFC,ST/N504087/1,2015-10-01,2020-09-30,72255,Heriot-Watt University,Sch of Engineering and Physical Science,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Robert,Roderick,Thomson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504087%2F1
STFC St Andrews Maths 2015 DTP,STFC,ST/N504415/1,2015-10-01,2020-09-30,216765,University of St Andrews,Mathematics and Statistics,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Nik,,Ruskuc,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504415%2F1
STFC Manchester Physics &amp; Astronomy 2015 DTP,STFC,ST/N504178/1,2015-10-01,2020-09-30,1947730,University of Manchester,Physics and Astronomy,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Stephen,,Watts,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504178%2F1
DTP 2016-2017 University of Warwick,EPSRC,EP/N509796/1,2016-10-01,2021-09-30,4824770,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Dan,,Pearson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509796%2F1
DTP 2016-2017 Queen's University of Belfast,EPSRC,EP/N509541/1,2016-10-01,2021-09-30,2471760,Queen's University of Belfast,Research and Regional Services,"University Road, Belfast, County Antrim, BT7 1NN, Northern Ireland, United Kingdom",BT7 1NN,Northern Ireland,Mark,,Kelly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509541%2F1
DTP 2016-2017 University of Exeter,EPSRC,EP/N509656/1,2016-10-01,2021-09-30,1506510,University of Exeter,Research Grant Administration,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Paula,Tracey,Frost,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509656%2F1
DTP 2016-2017 University of Dundee,EPSRC,EP/N509632/1,2016-10-01,2021-09-30,887440,University of Dundee,Executive,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Timothy,J,Newman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509632%2F1
DTP 2016-2017 University of Reading,EPSRC,EP/N509723/1,2016-10-01,2021-09-30,549086,University of Reading,Finance Office,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Jonathan,David,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509723%2F1
"DTP - Royal Holloway, Univ of London",EPSRC,EP/M507945/1,2015-10-01,2019-09-30,399767,"Royal Holloway, University of London",The Academic Registrar,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Barbara,,Davis,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507945%2F1
DTP 2016-2017 University of Sheffield,EPSRC,EP/N509735/1,2016-10-01,2021-09-30,5533980,University of Sheffield,Research Finance,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509735%2F1
DTP 2016-2017 University of Nottingham,EPSRC,EP/N50970X/1,2016-10-01,2021-09-30,5531910,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50970X%2F1
STFC Sheffield Physics &amp; Astronomy 2015 DTP,STFC,ST/N504282/1,2015-10-01,2020-09-30,555100,University of Sheffield,Physics and Astronomy,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Nigel,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504282%2F1
DTP 2016-2017 University of Glasgow,EPSRC,EP/N509668/1,2016-10-01,2021-09-30,6095720,University of Glasgow,Research and Enterprise,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Mary Beth,,Kneafsey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509668%2F1
DTP 2016-2017 University of Surrey,EPSRC,EP/N509772/1,2016-10-01,2021-09-30,2344060,University of Surrey,Finance and Financial Management,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Yvonne,,Dunstone,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509772%2F1
DTP 2016-2017 Heriot-Watt University,EPSRC,EP/N509474/1,2016-10-01,2021-09-30,1967700,Heriot-Watt University,Sch of Engineering and Physical Science,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Duncan,,Hand,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509474%2F1
STFC Heriot Watt Maths 2015 DTP,STFC,ST/N504099/1,2015-10-01,2020-09-30,139521,Heriot-Watt University,S of Mathematical and Computer Sciences,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Richard Joseph,,Szabo,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504099%2F1
DTP 2016-2017 University of Strathclyde,EPSRC,EP/N509760/1,2016-10-01,2021-09-30,3211780,University of Strathclyde,Research and Knowledge Exchange Services,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Alison,,McFarlane,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509760%2F1
"Training &amp; Skills Hub in Quantum Systems Engineering: innovation in Quantum Business - Applications, Technology and Engineering (InQuBATE)",EPSRC,EP/P510270/1,2016-04-01,2021-03-31,3597370,University College London,London Centre for Nanotechnology,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Andrew,,Fisher,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510270%2F1
"DTP 2016-2017 Queen Mary, University of London",EPSRC,EP/N50953X/1,2016-10-01,2021-09-30,1315900,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50953X%2F1
Training &amp; Skills Hub in Quantum Systems Engineering: Imperial Centre for Quantum Engineering &amp; Science,EPSRC,EP/P510257/1,2016-04-01,2021-03-31,3044610,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Myungshik,,Kim,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510257%2F1
"The Cambridge Earth System Science DTP: Multi-disciplinary studies of the solid Earth, its atmosphere, oceans, cryosphere and biosphere.",NERC,NE/L002507/1,2014-09-01,2020-10-31,4075580,University of Cambridge,Earth Sciences,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Michael,James,Bickle,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002507%2F1
"Doctoral Training Partnership(DTP) in Structural Metallic Systems for Gas Turbine Applications-universities of Cambridge,Swansea and Birmingham.",EPSRC,EP/H022309/1,2009-10-01,2020-03-31,9469810,University of Birmingham,Metallurgy and Materials,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Paul,,Bowen,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH022309%2F1
The Digital Economy Innovation Centre,EPSRC,EP/G037582/1,2009-10-01,2018-03-31,5969320,Lancaster University,Computing & Communications,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Gordon,,Blair,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037582%2F1
Industrial Doctorate Centre in Composites Manufacture,EPSRC,EP/K50323X/1,2012-10-01,2019-03-31,3926970,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Ivana,Katherine,Partridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK50323X%2F1
