title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
STFC Imperial Earth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,317020,Imperial College London,Earth Science and Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jan,,Cilliers,ST/N504312/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504312%2F1
STFC Durham Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1791410,Durham University,Physics,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Simon,Leo,Morris,ST/N50404X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50404X%2F1
STFC Sheffield Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,144510,University of Sheffield,Mathematics and Statistics,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,J,D,Biggins,ST/N504270/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504270%2F1
STFC Oxford Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,2580730,University of Oxford,Oxford Physics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,John,,Wheater,ST/N504233/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504233%2F1
STFC UCL Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1172190,University College London,Physics and Astronomy,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Jonathan,Mark,Butterworth,ST/N50449X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50449X%2F1
DTP - University of East Anglia,EPSRC,DTP,2015-10-01,2019-09-30,466643,University of East Anglia,Graduate Office,"Earlham Road, Norwich, Norfolk, NR4 7TJ, East of England, United Kingdom",NR4 7TJ,East of England,Melanie,Sarah,Steele,EP/M508020/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508020%2F1
STFC Imperial Eng 2015 DTP,STFC,DTP,2016-10-01,2021-09-30,79255,Imperial College London,Electrical and Electronic Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Peter Y K,,Cheung,ST/N504324/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504324%2F1
STFC Liverpool Cockcroft 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,654564,University of Liverpool,Physics,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Peter,,Ratoff,ST/N504129/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504129%2F1
STFC Kings Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,232776,King's College London,Physics,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,David,,Richards,ST/N504373/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504373%2F1
DTP - The University of Manchester,EPSRC,DTP,2015-10-01,2019-09-30,3268210,University of Manchester,Engineering and Physical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Lee,James,Wilkinson,EP/M507969/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507969%2F1
STFC Durham Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,348802,Durham University,Mathematical Sciences,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Anne,,Taormina,ST/N504038/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504038%2F1
STFC UCL Earth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,158510,University College London,Earth Sciences,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Lars,,Stixrude,ST/N504476/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504476%2F1
STFC Liverpool Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,279042,University of Liverpool,Mathematical Sciences,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,David,Ian,Jack,ST/N504130/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504130%2F1
STFC Leeds Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,216765,University of Leeds,Applied Mathematics,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Steve,,Tobias,ST/N504397/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504397%2F1
STFC UCL MSSL 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,792550,University College London,Mullard Space Science Laboratory,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,A,,Smith,ST/N504488/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504488%2F1
STFC Manchester Earth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,289020,University of Manchester,Earth Atmospheric and Env Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Hugh,,Coe,ST/N504166/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504166%2F1
STFC St Andrews Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,216765,University of St Andrews,Physics and Astronomy,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Andrew Collier,,Cameron,ST/N504427/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504427%2F1
STFC West of Scot 2015 DTP,STFC,DTP,2016-02-01,2021-01-31,149498,University of the West of Scotland,School of Science,"High Street, Paisley, Renfrewshire, PA1 2BE, Scotland, United Kingdom",PA1 2BE,Scotland,John,Francis,Smith,ST/N504518/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504518%2F1
The Oxford DTP in Environmental Research,NERC,DTP,2014-09-01,2020-10-31,6551260,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,David,,Pyle,NE/L002612/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002612%2F1
STFC Southampton Physics &amp; Astronomy 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,423552,University of Southampton,School of Physics and Astronomy,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,Allan,Charles,ST/N504300/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504300%2F1
"DTP - Queen Mary, University of London",EPSRC,DTP,2015-10-01,2019-09-30,992115,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,EP/M507921/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507921%2F1
STFC Heriot Watt Eng 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,72255,Heriot-Watt University,Sch of Engineering and Physical Science,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Robert,Roderick,Thomson,ST/N504087/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504087%2F1
STFC St Andrews Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,216765,University of St Andrews,Mathematics and Statistics,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Nik,,Ruskuc,ST/N504415/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504415%2F1
STFC Manchester Physics &amp; Astronomy 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1947730,University of Manchester,Physics and Astronomy,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Stephen,,Watts,ST/N504178/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504178%2F1
"DTP - Royal Holloway, Univ of London",EPSRC,DTP,2015-10-01,2019-09-30,399767,"Royal Holloway, University of London",The Academic Registrar,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Barbara,,Davis,EP/M507945/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507945%2F1
STFC Sheffield Physics &amp; Astronomy 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,555100,University of Sheffield,Physics and Astronomy,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Nigel,,Clarke,ST/N504282/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504282%2F1
STFC Heriot Watt Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,139521,Heriot-Watt University,S of Mathematical and Computer Sciences,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Richard Joseph,,Szabo,ST/N504099/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504099%2F1
"The Cambridge Earth System Science DTP: Multi-disciplinary studies of the solid Earth, its atmosphere, oceans, cryosphere and biosphere.",NERC,DTP,2014-09-01,2020-10-31,4075580,University of Cambridge,Earth Sciences,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Michael,James,Bickle,NE/L002507/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002507%2F1
DTP 2016-2017 Queen's University of Belfast,EPSRC,DTP,2016-10-01,2021-09-30,2471760,Queen's University of Belfast,Research and Regional Services,"University Road, Belfast, County Antrim, BT7 1NN, Northern Ireland, United Kingdom",BT7 1NN,Northern Ireland,Mark,,Kelly,EP/N509541/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509541%2F1
DTP 2016-2017 University of Edinburgh,EPSRC,DTP,2016-10-01,2021-09-30,5843460,University of Edinburgh,College of Science and Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Julia,Miller,Ferguson,EP/N509644/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509644%2F1
"DTP 2016-2017 Queen Mary, University of London",EPSRC,DTP,2016-10-01,2021-09-30,1315900,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,EP/N50953X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50953X%2F1
DTP 2016-2017 Durham University,EPSRC,DTP,2016-10-01,2021-09-30,1613600,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,EP/N509462/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509462%2F1
DTP 2016-2017 Brunel University,EPSRC,DTP,2016-10-01,2021-09-30,1404660,Brunel University,Research Support and Development Office,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Adam,,Bell,EP/N509437/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509437%2F1
DTP 2016-2017 Swansea University,EPSRC,DTP,2016-10-01,2021-09-30,1300220,Swansea University,Research and Innovation,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Julie,Elizabeth,Pugsley,EP/N509553/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509553%2F1
DTP 2016-2017 Cardiff University,EPSRC,DTP,2016-10-01,2021-09-30,1473820,Cardiff University,Registry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Rhian,Wyn,Phillips,EP/N509449/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509449%2F1
DTP 2016-2017 University of Cambridge,EPSRC,DTP,2016-10-01,2021-09-30,12786000,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Noel Antony,,Rutter,EP/N509620/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509620%2F1
DTP 2016-2017 University of Dundee,EPSRC,DTP,2016-10-01,2021-09-30,887440,University of Dundee,Executive,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Timothy,J,Newman,EP/N509632/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509632%2F1
DTP 2016-2017 University of Sheffield,EPSRC,DTP,2016-10-01,2021-09-30,5533980,University of Sheffield,Research Finance,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,EP/N509735/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509735%2F1
DTP 2016-2017 University of Bristol,EPSRC,DTP,2016-10-01,2021-09-30,8601990,University of Bristol,Senior Faculty Accountant,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Jane,,FitzWalter,EP/N509619/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509619%2F1
DTP 2016-2017 University of Huddersfield,EPSRC,DTP,2016-09-19,2021-09-18,553518,University of Huddersfield,Research and Enterprise,"Queensgate, Huddersfield, West Yorkshire, HD1 3DH, Yorkshire and The Humber, United Kingdom",HD1 3DH,Yorkshire and The Humber,Elizabeth,,Towns-Andrews,EP/N50967X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50967X%2F1
DTP 2016-2017 University of Birmingham,EPSRC,DTP,2016-10-01,2021-09-30,5755880,University of Birmingham,Personnel Services,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Hilary,,Watson,EP/N509590/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509590%2F1
DTP 2016-2017 University of Oxford,EPSRC,DTP,2016-10-01,2021-09-30,13509900,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Martin,,Williams,EP/N509711/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509711%2F1
DTP 2016-2017 University of Sussex,EPSRC,DTP,2016-10-01,2021-09-30,547346,University of Sussex,Research Finance,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Linda,,Allfrey,EP/N509784/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509784%2F1
DTP 2016-2017 University of Brighton,EPSRC,DTP,2016-10-01,2021-09-30,508694,University of Brighton,Senior Management Team,"Cockcroft Building M24, Lewes Road, Brighton, East Sussex, BN2 2GJ, South East, United Kingdom",BN2 2GJ,South East,Neil,,Ravenscroft,EP/N509607/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509607%2F1
DTP 2016-2017 University of Warwick,EPSRC,DTP,2016-10-01,2021-09-30,4824770,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Dan,,Pearson,EP/N509796/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509796%2F1
DTP 2016-2017 University of Nottingham,EPSRC,DTP,2016-10-01,2021-09-30,5531910,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,EP/N50970X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50970X%2F1
DTP 2016-2017 University of Surrey,EPSRC,DTP,2016-10-01,2021-09-30,2344060,University of Surrey,Finance and Financial Management,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Yvonne,,Dunstone,EP/N509772/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509772%2F1
DTP 2016-2017 University College London,EPSRC,DTP,2016-10-01,2021-09-30,13171600,University College London,Research Services,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Ian David Lockhart,,Bogle,EP/N509577/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509577%2F1
DTP 2016-2017 University of Strathclyde,EPSRC,DTP,2016-10-01,2021-09-30,3211780,University of Strathclyde,Research and Knowledge Exchange Services,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Alison,,McFarlane,EP/N509760/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509760%2F1
Development of novel chromatographic workflows for deep-proteome analysis,BBSRC,DTP,2016-02-01,2020-01-31,95042,University of Dundee,School of Life Sciences,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Matthias,,Trost,BB/M015734/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM015734%2F1
Regulatory T cell Immunobiology Specialization and Stability in mucosal immunoregulation and tissue homestasis,BBSRC,DTP,2016-10-01,2020-09-30,96696,University of Manchester,School of Medical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Andrew,,MacDonald,BB/P504543/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504543%2F1
Specific diagnostic tools for protozoan infection of ruminants,BBSRC,DTP,2014-11-01,2018-10-31,94126,University of Edinburgh,The Roslin Institute,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Alastair,,Macrae,BB/L015196/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL015196%2F1
Smart formulation development for precision crop protection,BBSRC,DTP,2015-10-01,2019-09-30,95042,Newcastle University,Agriculture Food and Rural Development,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Robert,,Edwards,BB/N503988/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN503988%2F1
An integrated modelling approach to Environmental Stewardship design for butterflies,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Reading,Sch of Biological Sciences,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Richard,John,Walters,BB/N504129/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN504129%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,278567,University of Leeds,Physics and Astronomy,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Bryan,,Hickey,ST/K502108/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502108%2F1
DTA - University of Leeds,EPSRC,DTP,2013-10-01,2017-09-30,3089160,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,EP/L504993/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL504993%2F1
Industrial CASE Account - University of Reading 2013,EPSRC,DTP,2013-10-01,2018-09-30,205944,University of Reading,Chemistry,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,George,,Marston,EP/L505614/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505614%2F1
Scope &amp; limitations of capillary flow NMR as a screening technology for generating positional info in ligand-protein &amp; protein-protein complexes,BBSRC,DTP,2012-09-01,2017-01-31,91932,University of Bristol,Chemistry,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Matthew,,Crump,BB/J500586/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FJ500586%2F1
Developing nanoparticulate oligonucleotides as a selective tool for modulation of complex gut microbiota,BBSRC,DTP,2013-10-01,2017-09-30,93520,Institute of Food Research,Gut Health and Food Safety,"Institute of Food Research, Norwich Research Park, Colney, Norwich, NR4 7UA, East of England, United Kingdom",NR4 7UA,East of England,Arjan,,Narbad,BB/K012940/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012940%2F1
DTA - Durham University,EPSRC,DTP,2013-10-01,2017-09-30,1558020,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,EP/L504762/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL504762%2F1
DTA - The University of Manchester,EPSRC,DTP,2013-10-01,2017-09-30,3492340,University of Manchester,Engineering and Physical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Lee,James,Wilkinson,EP/L504877/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL504877%2F1
DTA - University of Nottingham,EPSRC,DTP,2014-10-01,2018-09-30,2561640,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,EP/M506588/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM506588%2F1
Industrial CASE Account - University of Liverpool 2014,EPSRC,DTP,2014-10-01,2019-09-30,417144,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Debbie,,Henderson,EP/M507477/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507477%2F1
"Weed management using low energy lasers, alone and in combination with low dose photosynthetic electron transport inhibitors",BBSRC,DTP,2015-10-01,2019-09-30,95042,Harper Adams University,Crops and Environment Sciences,"Harper Adams University, Newport, Shropshire, TF10 8NB, West Midlands, United Kingdom",TF10 8NB,West Midlands,John Patrick Haydock,,Reade,BB/M016773/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016773%2F1
